7&6&Z&Z&1Z&Z&Z&Z&Z&,0,0,2,2,0,0,3,4,0,0,0,0,0,0
7&6&Z&2Z&1Z&Z&Z&Z&Z&,0,0,0,0,0,0,0,0,1,1,1,1,0,0
7&6&Z&2Z&1Z&Z&Z&1Z&Z&,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7&6&Z&22Z&1Z&Z&Z&1Z&Z&,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7&6&Z&221Z&1Z&Z&Z&1Z&Z&,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7&6&Z&221Z&1Z&Z&Z&12Z&Z&,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7&6&Z&221Z&11Z&Z&Z&12Z&Z&,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7&6&Z&221Z&11Z&2Z&Z&12Z&Z&,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7&6&Z&221Z&111Z&2Z&Z&12Z&Z&,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7&6&Z&221Z&1112Z&2Z&Z&12Z&Z&,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7&6&Z&221Z&1112Z&2Z&1Z&12Z&Z&,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7&6&Z&221Z&1112Z&22Z&1Z&12Z&Z&,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7&6&Z&221Z&11121Z&22Z&1Z&12Z&Z&,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7&6&Z&221Z&11121Z&222Z&1Z&12Z&Z&,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7&6&Z&221Z&11121Z&2221Z&1Z&12Z&Z&,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7&6&Z&221Z&11121Z&2221Z&12Z&12Z&Z&,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7&6&Z&221Z&11121Z&2221Z&12Z&121Z&Z&,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7&6&2Z&221Z&11121Z&2221Z&12Z&121Z&Z&,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7&6&Z&Z&Z&Z&Z&1Z&Z&,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7&6&Z&2Z&Z&Z&Z&1Z&Z&,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7&6&Z&2Z&Z&1Z&Z&1Z&Z&,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7&6&Z&2Z&Z&1Z&Z&12Z&Z&,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7&6&Z&2Z&Z&1Z&1Z&12Z&Z&,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7&6&Z&Z&Z&1Z&Z&Z&Z&,0,2,0,3,1,5,2,6,1,5,1,3,0,1
7&6&Z&Z&Z&1Z&2Z&Z&Z&,0,0,0,1,0,0,1,4,0,0,0,0,0,0
7&6&Z&Z&Z&11Z&2Z&Z&Z&,0,0,0,0,0,0,0,0,0,3,0,0,1,1
7&6&Z&Z&Z&11Z&22Z&Z&Z&,0,0,0,0,0,0,0,1,0,2,0,0,0,0
7&6&Z&Z&Z&11Z&221Z&Z&Z&,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7&6&Z&Z&2Z&11Z&221Z&Z&Z&,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7&6&Z&Z&2Z&11Z&221Z&1Z&Z&,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7&6&Z&Z&22Z&11Z&221Z&1Z&Z&,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7&6&Z&Z&221Z&11Z&221Z&1Z&Z&,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7&6&Z&Z&2212Z&11Z&221Z&1Z&Z&,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7&6&Z&Z&2212Z&111Z&221Z&1Z&Z&,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7&6&Z&Z&2212Z&1112Z&221Z&1Z&Z&,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7&6&Z&Z&2212Z&1112Z&2211Z&1Z&Z&,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7&6&Z&Z&22122Z&1112Z&2211Z&1Z&Z&,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7&6&Z&1Z&22122Z&1112Z&2211Z&1Z&Z&,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7&6&Z&1Z&Z&Z&Z&Z&Z&,0,0,0,3,1,1,3,4,0,0,0,1,0,0
7&6&Z&1Z&Z&2Z&Z&Z&Z&,0,0,1,1,0,0,1,1,0,0,1,2,0,0
7&6&Z&1Z&Z&2Z&Z&1Z&Z&,0,0,0,0,0,0,2,3,0,0,0,0,0,0
7&6&Z&1Z&Z&22Z&Z&1Z&Z&,0,0,1,1,0,0,1,2,0,0,0,0,0,0
7&6&Z&1Z&Z&221Z&Z&1Z&Z&,0,0,1,1,0,0,0,0,0,0,0,1,0,0
7&6&Z&1Z&Z&221Z&Z&12Z&Z&,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7&6&Z&1Z&Z&221Z&Z&121Z&Z&,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7&6&Z&1Z&Z&2212Z&Z&121Z&Z&,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7&6&Z&1Z&1Z&2212Z&Z&121Z&Z&,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7&6&Z&12Z&1Z&2212Z&Z&121Z&Z&,0,0,0,0,0,0,0,0,0,1,0,0,0,0
