State,Visits,Value
000000000000000000000000000000000000000100,40,0.1
000000000000000000000000000000000001000102,1,-1.0
000000000000000000000000000000010001002102,1,-1.0
000000000000000000000000200010010001002102,1,-1.0
000000000000000000000000200010011021002102,1,-1.0
000000000000000000000100220010011021002102,1,-1.0
000000000000002001000100220010011021002102,1,-1.0
000000020000002001000100220110011021002102,1,-1.0
000000020000002001200100220110011021002112,1,-1.0
000000020020002001200100220110011121002112,1,-1.0
000000000000000000000000000000000000000010,26,0.15384615384615385
000000000000000000000000000000000000001012,1,1.0
000000000000000000000000000000000100021012,2,0.0
000000000000000000000000100000020100021012,1,1.0
000000000000000000000000102000020110021012,1,1.0
000000000000000000020000102000020110021112,1,1.0
000001000000200000020000102000020110021112,1,1.0
000001000000200000020000102200120110021112,1,1.0
000001000000200000020000112200122110021112,1,1.0
000001000000200000122000112200122110021112,1,1.0
000001000000220000122000112200122110121112,1,1.0
000000000000000000000000000000000000001000,69,0.2173913043478261
000000000000000000000000000000000000001201,5,0.2
000000000000000000000000000000021000001201,1,1.0
000000000000000000000000100000021002001201,1,1.0
000000000000000000100000120000021002001201,1,1.0
000000000000000000100000120000021012201201,1,1.0
000000000000000000100010120002021012201201,1,1.0
000000000000000000100010120122021012201201,1,1.0
000000000001000000102010120122021012201201,1,1.0
000000000001020000102010120122021012201211,1,1.0
000000000001020000102010120122121012221211,1,1.0
000000200001020000102011120122121012221211,1,1.0
000000200001020010102211120122121012221211,1,1.0
000000000000000000000000000000000010000012,1,1.0
000000000000000000000000000200000110000012,1,1.0
000000000000000000000000001200000110020012,1,1.0
000000000000000000010000001200000110220012,1,1.0
000000000000000000000000000000010000001020,3,1.0
000000000000000001000000200000010000001020,1,1.0
000000000000000001000000200000010100021020,1,1.0
000000000010000001000000200000210100021020,1,1.0
000000000010000011000002200000210100021020,1,1.0
000000000010000011000002201000210100221020,1,1.0
000000000010000011020002201000210100221021,1,1.0
000000000210000011020002201000210110221021,1,1.0
000000000210000011021002201200210110221021,1,1.0
000000000210000011021012201202210110221021,1,1.0
000200000210010011021012201202210110221021,1,1.0
000200000210210011021012201202210110221121,1,1.0
000200100210210211021012201202210110221121,1,1.0
000200100210210211021012211202212110221121,1,1.0
000000000000000000000000000000000000000001,20,-0.4
000000000000000000000000000000001000000201,2,0.0
000000000000000000000000000000001000200211,1,-1.0
000000000000000000000000010002001000200211,1,-1.0
000000000000000000000000010002001000212211,1,-1.0
000000000000000000200010010002001000212211,1,-1.0
