State,Visits,Value
000000000000000000000000000000000000202110,3,0.3333333333333333
000000000000000000000000000000200000212110,1,-1.0
000000000000000000000001000000200000212112,1,-1.0
000000000000000000000001000000212000212112,1,-1.0
000000000000000000000001120000212000212112,1,-1.0
000000000000000000100001120000212200212112,1,-1.0
000000000000000001100001120002212200212112,1,-1.0
000000000000000000000000000000000000021000,6,-2.7755575615628914e-17
000000000000000000000000000000100000021200,1,-1.0
000000000000000000000000200000110000021200,1,-1.0
000000000000000000000000220000111000021200,1,-1.0
000000000000000000000000220002111000121200,1,-1.0
000000000000000002000010220002111000121200,1,-1.0
000000000020000002000010220002111001121200,1,-1.0
000100000020000002000010220002111001121202,1,-1.0
000100000020000002000011220002111001121222,1,-1.0
000000000000000000000000000000000000100020,1,-1.0
000000000000000000000000000000000000110220,1,-1.0
000000000000000000000000000000020000111220,1,-1.0
000000000000000000000000000000000000000120,3,-0.3333333333333333
000000000000000000000000020000001000000120,1,-1.0
000000000000000000000000020000001000210120,2,-1.0
000000000000000000200000020000101000210120,1,-1.0
000000000002000000200000020001101000210120,1,-1.0
000010000002000000200000020001101000210122,1,-1.0
000010000002000000200020020001101000211122,1,-1.0
000000000000000000000000000000000000200100,3,0.33333333333333337
000000000000000000000000000000002000201100,2,0.0
000000000000000000000000000000012000201120,1,1.0
000000000000000000000000210000012000201120,1,1.0
000000000000000000200000210000012000201121,1,1.0
000000000000000002200000210000012100201121,1,1.0
000000000010000002200000210000012100221121,1,1.0
000200000010000002200000210000112100221121,1,1.0
000200000010000002200002210000112110221121,1,1.0
000200000010000012200002210002112110221121,1,1.0
000200000011000012200002210002112112221121,1,1.0
000000000000000000000000000000000000201021,2,0.0
000000000000000000000000000200000010201021,1,-1.0
000000000000000000001000000200000210201021,1,-1.0
000000000000000000001000001200000210221021,1,-1.0
000000000000000000011000001202000210221021,1,-1.0
000000000000100000011000001202020210221021,1,-1.0
000000000000000000000000000000000000002100,15,-0.3333333333333334
000000000000000000000000200000010000002100,2,0.0
000000000000000000000000220000011000002100,2,0.0
000000000000000000100000220000011000202100,1,1.0
000000000000000002100000220000011000212100,1,1.0
000000000010000002100000220000011000212102,1,1.0
000000000010000002100000220002111000212102,1,1.0
000000000010000022100001220002111000212102,1,1.0
000000000210000022100001220002111001212102,1,1.0
000000000210000022100001220202111011212102,1,1.0
000000000210000222100011220202111011212102,1,1.0
000000000210000222100011220202111211212112,1,1.0
000000000000000000000000000000000000002001,7,1.0
000000000000000000000000000000010000202001,1,1.0
000000000000000000000000000000010000212201,1,1.0
000000000000000000000000000000112000212201,1,1.0
000000000000000000000002100000112000212201,1,1.0
000000000020000001000002100000112000212201,1,1.0
000000000020000001000002120000112010212201,1,1.0
000000000020000001100002120002112010212201,1,1.0
000000000021000001100022120002112010212201,1,1.0
000000000021000211100022120002112010212201,1,1.0
000000000000000000000000000000000000201000,8,0.5
000000000000000000000000000000000000201210,2,0.0
000000000000000000000000020000001000201210,1,1.0
000000000000000000000000020000021000201211,1,1.0
000000000000000000000000220000021010201211,1,1.0
000000000000000000002000220100021010201211,1,1.0
000000000000000002002000220101021010201211,1,1.0
000000000010000002202000220101021010201211,1,1.0
000000000011020002202000220101021010201211,1,1.0
000200000011020002202010220101021010201211,1,1.0
000200002011020102202010220101021010201211,1,1.0
000220002011020102202010220101021011201211,1,1.0
000220202011020102202010220111021011201211,1,1.0
000220202011020102202010222111021111201211,1,1.0
000220202011020102222110222111021111201211,1,1.0
000000000000000000000000000000002000020101,1,1.0
000000000000000000000000010000002000020121,1,1.0
000000000000000000000000010000002120020121,1,1.0
000000000000000000100000012000002120020121,1,1.0
000000000000000000102000012100002120020121,1,1.0
000000000000000000102000012100202120021121,1,1.0
000020000001000000102000012100202120021121,1,1.0
000020000001000000102002012100212120021121,1,1.0
000020000001000020112002012100212120021121,1,1.0
000000000000000000000000000000020000012010,1,1.0
000000000000000000000000200000020001012010,1,1.0
000000000020000001000000200000020001012010,1,1.0
000000000020000001000002200000120001012010,1,1.0
000000000020000001000002200000120201012110,1,1.0
000000000020000001000002201000122201012110,1,1.0
000000000020000011000002221000122201012110,1,1.0
000000000020000011210002221000122201012110,1,1.0
000002000020100011210002221000122201012110,1,1.0
000022000021100011210002221000122201012110,1,1.0
000122000021100011210002221020122201012110,1,1.0
000122000021100011210102221020122201012112,1,1.0
000122000021100011210102221220122211012112,1,1.0
000122020021101011210102221220122211012112,1,1.0
000122020221101011211102221220122211012112,1,1.0
000122020221121011211102221220122211112112,1,1.0
002122020221121011211102221221122211112112,1,1.0
002122020221121211211112221221122211112112,1,1.0
000000000000000000000000000000000200000010,3,-0.3333333333333333
000000000000000000000000000000002200102110,1,1.0
000000000000000000000000002000012200102110,1,1.0
000000000000000000020000102000012200102110,1,1.0
000000000000200001020000102000012200102110,1,1.0
000000000000000000000000000000201000010200,1,-1.0
000000000000000000000000000000221000011200,1,-1.0
000000000000000000000000100000221002011200,1,-1.0
000000000000000000000001120000221002011200,1,-1.0
000000000000000010000001120000221002011220,1,-1.0
000000000000000011000001120020221002011220,1,-1.0
000200000010000011000001120020221002011220,1,-1.0
000200000010002011000101120020221002011220,1,-1.0
000200010010002011000101120020221002211220,1,-1.0
000200010010002011000101120021221002211222,1,-1.0
000000000000000000000000000000000000221001,1,1.0
000000000000000000000000000000000000221121,1,1.0
000000000000000000000000000000201000221121,1,1.0
000000000000000000000002000001201000221121,1,1.0
000000000000000010000002000001221000221121,1,1.0
000000000000000010000002120001221000221121,1,1.0
000000000000000012000002120001221010221121,1,1.0
000000000120000012000002120001221010221121,1,1.0
000200000120000012100002120001221010221121,1,1.0
000200000120000012102002120101221010221121,1,1.0
000200000120010012102002120101221210221121,1,1.0
000200100120010012102002120101221212221121,1,1.0
000200100120010012122002121101221212221121,1,1.0
000000000000000000000000000000010020001002,1,1.0
000000000000000000000000000100010020201002,1,1.0
000000000000000000000000000100010020201122,1,1.0
000000000000000000000000002100010120201122,1,1.0
000000000000000000010000002100010120221122,1,1.0
000000000000000000010000202100010121221122,1,1.0
000000000000000000011000202100012121221122,1,1.0
000000000000020000011000212100012121221122,1,1.0
000000000000020001211000212100012121221122,1,1.0
000000000020020001211000212101012121221122,1,1.0
000000000000000000000000000000000000020010,2,0.0
000000000000000000000000002000000100021012,1,1.0
000000000000000000010000002000000102021012,1,1.0
000000000000100000010000002000020102021012,1,1.0
000000000000100000010000002002020102121012,1,1.0
000000000000100000010000002012220102121012,1,1.0
000002000000100000010010002012220102121012,1,1.0
000002000000100000010010002012222102121112,1,1.0
000000000000000000000000000000000002000010,3,-0.3333333333333333
000000000000000000000000000000000002001012,2,1.0
000000000000000000000000000000000002021112,2,1.0
000000000000000000000000000000210002021112,1,1.0
000000000000000000000002000000211002021112,1,1.0
000000000000000020000002000000211012021112,1,1.0
000000000000000000000000000000000000100002,2,-1.0
000000000000000000000000000000000010102002,1,-1.0
000000000000000000000000000100020010102002,1,-1.0
000000000000000000000000200100020010102012,1,-1.0
000000000000000001000000200100020210102012,1,-1.0
000000000000000001000000202100020211102012,1,-1.0
000000000000000001021000202100020211102012,1,-1.0
000000000000000000000000000000000000012000,6,-0.6666666666666666
000000000000000000000000000000200000112000,2,0.0
000000000000000000000001000002200000112000,1,-1.0
000000000000000000000001000002220000112010,1,-1.0
000000000000000010000001000002220200112010,1,-1.0
002000000100000010000001000002220200112010,1,-1.0
002000000100000010000001100002220200112012,1,-1.0
002000000100000010000001100202220210112012,1,-1.0
002000000120000011000001100202220210112012,1,-1.0
002000000120000011000001101202220212112012,1,-1.0
002000000120000011020001101212220212112012,1,-1.0
002000000120000011020211101212220212112012,1,-1.0
002000000120200011021211101212220212112012,1,-1.0
002100000120200011021211101212220212112212,1,-1.0
000000000000000000000000000000000200001210,2,-1.0
000000000000000000000000001000002200001210,1,-1.0
000000000000000000000000001000012202001210,1,-1.0
000000000000000000020000001010012202001210,1,-1.0
000000000000000000020000121010012202001210,1,-1.0
000000000000000000000000000000000000210000,5,-0.6
000000000000000000000000000000000000212001,1,1.0
000000000000000000000000000000100002212001,1,1.0
000000000000000000000000200000110002212001,1,1.0
000000000000000020000001200000110002212001,1,1.0
000000000000000021000001200020110002212001,1,1.0
000000000000000021000001200220110012212001,1,1.0
000000000000000021000001200222110012212011,1,1.0
000000000210000021000001200222110012212011,1,1.0
000000000210000021000201200222110112212011,1,1.0
000000000210002021000201201222110112212011,1,1.0
000000000000000000000000000000002000021100,3,1.0
000000000000000000000000000000002000021121,2,1.0
000000000000000000000000000000122000021121,1,1.0
